Date,Location,Item,OH Quantity,OH Amount,On Order Quantity,On Order Amount,In Transit Quantity,In Transit Amount,NSI Quantity,NSI Amount
2020-01-16,LAKEWOOD,Chicken XXXXX-O,78,389.22,90,449.1,0,0.0,0,0
2020-01-27,HAYWARD,Chicken XXXXX-O,27,134.73,135,673.65,0,0.0,0,0
2020-01-17,RICHMOND CA,Chicken XXXXX-O,136,678.64,180,898.2,0,0.0,0,0
2020-01-17,LAKEWOOD,Chicken XXXXX-O,58,289.42,45,224.55,85,424.15,0,0
2020-01-28,HAYWARD,Chicken XXXXX-O,6,29.94,0,0.0,140,698.6,0,0
2020-01-29,HAYWARD,Chicken XXXXX-O,135,673.65,0,0.0,0,0.0,0,0
2020-01-18,RICHMOND CA,Chicken XXXXX-O,121,603.79,135,673.65,41,204.59,0,0
2020-01-18,LAKEWOOD,Chicken XXXXX-O,100,499.0,45,224.55,0,0.0,0,0
2020-01-30,HAYWARD,Chicken XXXXX-O,104,518.96,0,0.0,0,0.0,0,0
2020-01-19,RICHMOND CA,Chicken XXXXX-O,149,743.51,135,673.65,0,0.0,0,0
2020-01-10,FREMONT,Chicken XXXXX-O,60,299.4,180,898.2,0,0.0,0,0
2020-01-31,HAYWARD,Chicken XXXXX-O,31,154.69,45,224.55,0,0.0,0,0
2020-01-19,LAKEWOOD,Chicken XXXXX-O,61,304.39,45,224.55,0,0.0,0,0
2020-01-11,FREMONT,Chicken XXXXX-O,14,69.86,180,898.2,0,0.0,0,0
2020-02-01,HAYWARD,Chicken XXXXX-O,31,154.69,0,0.0,43,214.57,0,0
2020-01-20,RICHMOND CA,Chicken XXXXX-O,-4,-19.96,135,673.65,0,0.0,0,0
2020-02-02,HAYWARD,Chicken XXXXX-O,15,74.85,0,0.0,0,0.0,0,0
2020-01-12,FREMONT,Chicken XXXXX-O,14,69.86,0,0.0,167,833.33,0,0
2020-01-21,RICHMOND CA,Chicken XXXXX-O,-4,-19.96,0,0.0,133,663.67,0,0
2020-01-21,LAKEWOOD,Chicken XXXXX-O,5,24.95,135,673.65,0,0.0,0,0
2020-02-03,HAYWARD,Chicken XXXXX-O,10,49.9,135,673.65,0,0.0,0,0
2020-01-13,FREMONT,Chicken XXXXX-O,181,903.19,270,1347.3,0,0.0,0,0
2020-01-22,RICHMOND CA,Chicken XXXXX-O,129,643.71,0,0.0,0,0.0,0,0
2020-02-04,HAYWARD,Chicken XXXXX-O,6,29.94,0,0.0,131,653.69,0,0
2020-01-22,LAKEWOOD,Chicken XXXXX-O,-1,-4.99,0,0.0,132,658.68,0,0
2020-01-14,FREMONT,Chicken XXXXX-O,181,903.19,0,0.0,258,1287.42,0,0
2020-02-05,HAYWARD,Chicken XXXXX-O,84,419.16,0,0.0,0,0.0,0,0
2020-01-23,RICHMOND CA,Chicken XXXXX-O,129,643.71,0,0.0,0,0.0,0,0
2020-01-23,LAKEWOOD,Chicken XXXXX-O,131,653.69,45,224.55,0,0.0,0,0
2020-02-06,HAYWARD,Chicken XXXXX-O,40,199.6,0,0.0,0,0.0,0,0
2020-02-07,HAYWARD,Chicken XXXXX-O,5,24.95,90,449.1,0,0.0,0,0
2020-01-24,RICHMOND CA,Chicken XXXXX-O,76,379.24,45,224.55,0,0.0,0,0
2020-01-24,LAKEWOOD,Chicken XXXXX-O,88,439.12,0,0.0,49,244.51,0,0
2020-02-08,HAYWARD,Chicken XXXXX-O,5,24.95,90,449.1,92,459.08,0,0
2020-01-15,FREMONT,Chicken XXXXX-O,370,1846.3,0,0.0,0,0.0,0,0
2020-01-25,RICHMOND CA,Chicken XXXXX-O,-5,-24.95,45,224.55,0,0.0,0,0
2020-01-25,LAKEWOOD,Chicken XXXXX-O,83,414.17,0,0.0,0,0.0,0,0
2020-02-09,HAYWARD,Chicken XXXXX-O,4,19.96,0,0.0,0,0.0,0,0
2020-01-16,FREMONT,Chicken XXXXX-O,314,1566.86,0,0.0,0,0.0,0,0
2020-02-10,HAYWARD,Chicken XXXXX-O,4,19.96,90,449.1,0,0.0,0,0
2020-01-26,RICHMOND CA,Chicken XXXXX-O,-5,-24.95,0,0.0,45,224.55,0,0
2020-01-26,LAKEWOOD,Chicken XXXXX-O,27,134.73,0,0.0,0,0.0,0,0
2020-02-11,HAYWARD,Chicken XXXXX-O,4,19.96,0,0.0,93,464.07,0,0
2020-01-27,RICHMOND CA,Chicken XXXXX-O,40,199.6,135,673.65,0,0.0,0,0
2020-02-12,HAYWARD,Chicken XXXXX-O,42,209.58,0,0.0,0,0.0,0,0
